Country,Year,CleanFuelAccess,ElectricityAccess,CO2Emissions,ElecPowerConsumption,CoalElectricity,HydroElectricity,GasElectricity,NuclearElectricity,OilElectricity,RenewableElectricity,RenewableElectricity_kWh,EnergyIntensity,EnergyUse,FossilFuelConsumption,GDPGrowth,GDPPerCapita,PrivateEnergyInvest,LandArea,PopDensity,TotalPopulation,PPP_EnergyInvest,RenewableEnergyConsumption,TotalGHGEmissions,Latitude,Longitude
Cuba,2003,78.9,96.477,2.288428,1196.602,0.0,0.809614,10.18975,0.0,29.07653,4.55408,720000000.0,2.89,1030.32,75.27021,3.79274,3205.688,78030000.0,106400.0,105.2558,11199217.0,78030000.0,33.56,40550.92,21.52176,-77.7812
Myanmar,2012,13.4,55.3009,0.23824,159.723,7.184122,72.36303,19.97764,0.0,0.475214,0.0,0.0,4.03,311.7739,26.92944,6.485754,1161.306,212000000.0,653150.0,76.88614,50218185.0,212000000.0,78.46,92134.79,21.91622,95.95597
Zambia,2020,10.9,44.60407,0.401903,255.3615,0.0,84.34114,3.200372,0.0,11.94186,0.516626,29600000.0,7.6,398.4224,20.58485,-2.78506,956.8317,333000000.0,743390.0,25.46135,18927715.0,333000000.0,81.84,36107.82,-13.1339,27.84933
Rwanda,2018,2.3,37.95683,0.111987,246.6782,5.643138,16.68368,0.546164,0.0,68.95893,5.124194,352000000.0,4.02,424.0483,34.36113,8.539836,768.9641,107000000.0,24670.0,507.9776,12531808.0,107000000.0,82.82,6106.433,-1.94028,29.87389
Hungary,2013,100.0,99.98679,4.120314,3892.114,21.07348,0.70311,18.29075,50.73612,0.257477,8.500033,2580000000.0,3.99,2271.947,69.54964,1.802522,13715.07,823000000.0,90530.0,109.2796,9893082.0,823000000.0,17.18,55683.31,47.16249,19.5033
China,2003,44.3,97.44719,3.434036,1379.485,79.55557,14.84654,0.269789,2.268318,2.869285,0.190501,3640000000.0,10.48,1118.432,83.22976,10.03803,1288.638,4680000000.0,9388213.0,137.2359,1290000000.0,2810000000.0,23.86,5724514.0,35.86166,104.1954
Azerbaijan,2014,96.3,100.0,3.381556,2202.394,0.0,5.257198,93.86121,0.0,0.157716,0.372048,92000000.0,4.3,1502.078,98.36599,2.750507,7890.835,330000000.0,82663.0,115.3488,9535079.0,330000000.0,2.12,52262.56,40.14311,47.57693
Albania,2005,52.0,99.37112,1.360092,1722.073,0.0,98.71394,0.0,0.0,1.286055,0.0,0.0,3.76,719.5844,66.48668,5.526424,2673.788,193000000.0,27400.0,109.9083,3011487.0,96832000.0,36.77,9016.942,41.15333,20.16833
Panama,2005,100.0,84.12281,2.152657,1465.878,0.0,63.90939,0.0,0.0,35.6959,0.394714,23000000.0,2.14,881.5667,73.66243,7.191279,4953.13,108000000.0,74340.0,44.46957,3305868.0,118000000.0,22.77,12521.73,8.537981,-80.7821
Czechia,2009,100.0,100.0,10.84324,6139.352,59.571,2.975549,1.194385,33.33007,0.191102,2.725647,2230000000.0,5.21,4034.744,79.6577,-4.65733,19861.7,640000000.0,77240.0,135.2141,10443936.0,640000000.0,10.25,133423.4,49.81749,15.47296
